Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Ngành học
0,1,0,3,2,1,0,2,2,3,1,2,0,1,1,1,3,1,1,0,Y học
2,3,3,2,3,1,3,0,0,2,3,2,3,2,0,2,1,1,2,1,Khoa học dữ liệu
1,0,2,1,3,1,0,2,2,3,0,1,2,3,2,0,0,2,0,3,Y học
0,2,2,3,1,0,2,3,1,0,2,0,2,0,2,0,1,0,3,2,Kỹ thuật xây dựng
0,0,1,1,1,3,0,0,0,0,2,2,0,0,0,0,3,2,3,0,Du lịch
3,2,1,1,0,1,1,3,1,1,2,2,0,0,0,0,0,2,3,3,Y học
1,3,1,2,3,3,1,3,1,0,1,3,3,0,0,1,1,3,3,3,Kỹ thuật xây dựng
1,0,0,1,3,2,3,1,0,1,3,0,3,3,1,3,0,2,3,3,Tâm lý học
0,2,2,1,2,3,2,3,3,2,3,3,0,2,3,3,0,3,1,2,Thiết kế đồ họa
3,3,3,1,3,2,3,2,3,2,1,2,0,2,3,3,3,0,2,1,Thiết kế đồ họa
0,0,3,2,3,0,1,3,2,0,0,2,2,2,3,2,1,2,3,3,Kỹ thuật xây dựng
3,2,0,3,0,0,0,3,1,3,2,1,2,1,1,2,2,1,0,3,Kỹ thuật xây dựng
1,3,3,1,3,2,1,0,2,2,2,2,2,1,2,0,1,3,0,1,Thiết kế đồ họa
2,2,2,2,1,1,3,3,1,3,3,0,3,0,1,0,0,3,1,2,Khoa học dữ liệu
0,1,0,1,1,0,0,3,0,1,1,3,2,3,3,3,0,2,3,0,Y học
1,2,1,1,1,1,2,3,2,0,1,1,0,3,3,1,3,2,1,0,Thiết kế đồ họa
2,3,2,1,2,1,0,3,1,0,0,1,3,1,1,2,2,3,2,3,Y học
2,0,1,3,1,0,2,3,0,0,1,2,3,2,3,3,3,2,0,2,Kỹ thuật xây dựng
3,2,3,1,2,0,1,3,0,2,2,1,2,0,1,2,0,1,3,3,Y học
3,2,0,0,1,2,0,2,0,0,2,1,1,0,0,1,1,0,0,0,Y học
3,0,2,1,2,1,3,0,2,3,0,2,2,2,2,3,3,0,2,2,Quản trị kinh doanh
2,1,3,0,1,1,3,2,3,3,2,1,3,2,0,2,2,2,0,1,Khoa học dữ liệu
1,1,2,1,0,2,3,3,1,2,1,0,1,2,0,3,2,2,3,2,Y học
1,2,1,0,3,2,0,3,2,0,1,1,1,0,1,0,0,3,2,0,Thiết kế đồ họa
3,1,2,1,0,2,1,3,0,0,3,2,0,3,3,3,3,0,1,3,Y học
1,1,0,3,2,3,0,3,3,2,2,0,1,1,0,2,0,0,1,3,Y học
3,1,0,1,2,2,1,1,1,1,3,1,3,1,2,3,3,1,1,3,Công nghệ thông tin
0,1,0,1,2,2,1,0,3,0,2,3,1,0,0,2,1,2,1,3,Luật
0,2,0,1,0,2,1,3,3,2,3,1,2,2,1,2,2,1,0,1,Thiết kế đồ họa
0,2,3,3,3,0,3,1,1,3,2,3,1,3,1,2,1,1,2,3,Quản trị kinh doanh
1,1,1,2,0,1,0,0,1,0,2,2,0,0,2,1,0,0,2,0,Báo chí
0,0,1,2,2,3,1,0,3,3,1,1,3,0,2,1,1,1,2,2,Kỹ thuật xây dựng
0,1,2,3,2,1,0,3,1,3,0,3,2,3,2,2,2,3,0,0,Kỹ thuật xây dựng
3,1,0,3,2,0,2,0,2,1,3,0,1,1,2,3,0,2,3,1,Khoa học dữ liệu
1,0,0,3,3,1,2,0,1,2,3,2,1,0,0,0,2,1,0,1,Kinh tế
3,0,3,2,2,0,0,3,3,1,3,1,3,3,2,2,3,2,2,0,Kỹ thuật xây dựng
0,0,2,2,3,3,1,1,0,3,2,3,2,1,3,1,3,2,3,0,Kỹ thuật xây dựng
3,2,2,3,3,2,2,2,3,3,2,1,0,3,1,0,3,1,0,1,Khoa học dữ liệu
1,0,3,0,3,1,2,3,3,3,1,1,3,3,0,3,0,3,0,2,Y học
1,1,1,0,0,0,2,3,3,2,2,0,3,0,3,1,2,2,0,1,Y học
2,0,2,1,3,1,3,2,1,2,0,3,0,1,2,1,0,0,3,2,Quản trị kinh doanh
1,1,0,2,0,2,0,1,2,1,0,3,2,1,3,1,2,3,2,1,Kỹ thuật xây dựng
0,1,2,2,0,0,2,2,0,2,0,2,0,2,0,3,1,3,1,3,Y học
0,1,3,2,3,0,1,3,1,0,2,3,1,3,1,2,1,2,2,2,Y học
0,2,0,3,0,2,2,3,2,1,1,0,3,3,3,3,1,1,1,2,Thiết kế đồ họa
1,3,0,3,1,2,0,1,3,1,3,2,0,2,2,0,1,0,2,0,Thiết kế đồ họa
