major_name,major_code,university_code,field
Khoa học Máy tính,7480101,HUST,CNTT
Kỹ thuật Máy tính,7480102,HUST,CNTT
Cơ điện tử,7520114,HUST,Kỹ thuật
Kỹ thuật Ô tô,7520103,HUST,Kỹ thuật
Kỹ thuật Điện,7520201,HUST,Kỹ thuật
Kỹ thuật Điện tử - Viễn thông,7520207,HUST,Kỹ thuật
Kỹ thuật Hóa học,7520301,HUST,Kỹ thuật
Kỹ thuật Cơ khí,7520103,HUST,Kỹ thuật
Khoa học Dữ liệu,7480108,HUST,CNTT
Tự động hóa,7520216,HUST,Kỹ thuật

Kinh tế Quốc tế,7310106,FTU,Kinh tế
Quản trị Kinh doanh,7340101,FTU,Kinh tế
Marketing,7340115,FTU,Kinh tế
Tài chính Quốc tế,7340202,FTU,Kinh tế
Kinh doanh Thương mại,7340122,FTU,Kinh tế
Thương mại Quốc tế,7340120,FTU,Kinh tế
Kế toán,7340301,FTU,Kinh tế
Luật Kinh tế,7380107,FTU,Luật
Ngôn ngữ Anh Thương mại,7220201,FTU,Ngôn ngữ
Quan hệ Quốc tế,7310206,FTU,Xã hội

Kinh tế Quốc dân,7310101,NEU,Kinh tế
Quản trị Kinh doanh,7340101,NEU,Kinh tế
Kế toán,7340301,NEU,Kinh tế
Tài chính - Ngân hàng,7340201,NEU,Kinh tế
Marketing,7340115,NEU,Kinh tế
Thương mại điện tử,7340122,NEU,Kinh tế
Kinh tế Đầu tư,7310104,NEU,Kinh tế
Kinh tế Phát triển,7310105,NEU,Kinh tế
Thống kê Kinh tế,7310107,NEU,Kinh tế
Quản trị Nhân lực,7340404,NEU,Kinh tế

Khoa học Máy tính,7480101,VNU,CNTT
Công nghệ Sinh học,7420201,VNU,Khoa học
Hóa học,7440101,VNU,Khoa học
Vật lý,7440102,VNU,Khoa học
Toán học,7460101,VNU,Khoa học
Ngôn ngữ Anh,7220201,VNU,Ngôn ngữ
Kinh tế,7310101,VNU,Kinh tế
Luật,7380101,VNU,Luật
Truyền thông,7320104,VNU,Xã hội
Quản trị Du lịch,7810103,VNU,Du lịch

Y khoa,7720101,HMU,Y dược
Răng Hàm Mặt,7720501,HMU,Y dược
Dược học,7720201,HMU,Y dược
Điều dưỡng,7720301,HMU,Y dược
Kỹ thuật Xét nghiệm Y học,7720601,HMU,Y dược
Y học cổ truyền,7720115,HMU,Y dược
Hộ sinh,7720401,HMU,Y dược
Y tế công cộng,7720701,HMU,Y dược
Dinh dưỡng,7720402,HMU,Y dược
Vật lý trị liệu,7720302,HMU,Y dược

Sư phạm Toán học,7140209,HNUE,Giáo dục
Sư phạm Hóa học,7140212,HNUE,Giáo dục
Sư phạm Vật lý,7140211,HNUE,Giáo dục
Sư phạm Ngữ văn,7140217,HNUE,Giáo dục
Sư phạm Lịch sử,7140218,HNUE,Giáo dục
Sư phạm Tiếng Anh,7140231,HNUE,Giáo dục
