major_code,year,quota,score,combinations,university_code
7480101,2024,120,28.0,"A00,A01",HUST
7480101,2024,120,28.0,"A00,A01",HCMUT
7480101,2024,120,28.0,"A00,A01",HCMUS
7480101,2023,120,27.8,"A00,A01",HUST
7480101,2023,120,27.7,"A00,A01",HCMUT
7480101,2023,120,27.6,"A00,A01",HCMUS
7480101,2022,120,28.1,"A00,A01",HUST
7480101,2022,120,28.0,"A00,A01",HCMUT
7480101,2022,120,28.0,"A00,A01",HCMUS

7340101,2024,400,25.0,"A00,A01,D01",NEU
7340101,2024,400,24.8,"A00,A01,D01",SGU
7340101,2024,400,25.3,"A00,A01,D01",UEH
7340101,2023,400,24.5,"A00,A01,D01",NEU
7340101,2023,400,24.3,"A00,A01,D01",SGU
7340101,2023,400,24.7,"A00,A01,D01",UEH
7340101,2022,400,25.0,"A00,A01,D01",NEU
7340101,2022,400,25.1,"A00,A01,D01",UEH
7340101,2022,400,24.9,"A00,A01,D01",SGU

7720101,2024,420,27.5,"B00,A00",HMU
7720101,2024,420,27.3,"B00,A00",UMP
7720101,2023,420,27.4,"B00,A00",HMU
7720101,2023,420,27.2,"B00,A00",UMP
7720101,2022,420,27.6,"B00,A00",HMU
7720101,2022,420,27.5,"B00,A00",UMP

7340115,2024,300,25.0,"A00,D01",FTU
7340115,2024,300,24.3,"A00,D01",UEH
7340115,2023,300,24.2,"A00,D01",FTU
7340115,2023,300,23.8,"A00,D01",UEH
7340115,2022,300,25.1,"A00,D01",FTU
7340115,2022,300,24.5,"A00,D01",UEH

7380107,2024,180,24.0,"C00,D01",FTU
7380107,2024,200,23.3,"C00,D01",UEH
7380107,2023,180,23.6,"C00,D01",FTU
7380107,2023,200,22.9,"C00,D01",UEH
7380107,2022,180,24.2,"C00,D01",FTU
7380107,2022,200,23.5,"C00,D01",UEH

7480201,2024,250,27.0,"A00,A01",HUST
7480201,2024,250,26.7,"A00,A01",HCMUT
7480201,2024,250,26.9,"A00,A01",HAUI
7480201,2023,250,26.5,"A00,A01",HUST
7480201,2023,250,26.2,"A00,A01",HCMUT
7480201,2023,250,26.4,"A00,A01",HAUI
7480201,2022,250,26.9,"A00,A01",HUST
7480201,2022,250,26.7,"A00,A01",HCMUT
7480201,2022,250,26.6,"A00,A01",HAUI

7520103,2024,200,25.0,"A00,A01",HUST
7520103,2024,200,25.1,"A00,A01",HCMUT
7520103,2024,200,24.8,"A00,A01",HAUI
7520103,2023,200,24.6,"A00,A01",HUST
7520103,2023,200,24.5,"A00,A01",HCMUT
7520103,2023,200,24.4,"A00,A01",HAUI
7520103,2022,200,25.2,"A00,A01",HUST
7520103,2022,200,25.0,"A00,A01",HCMUT
7520103,2022,200,24.9,"A00,A01",HAUI

7340201,2024,380,25.0,"A00,A01,D01",NEU
7340201,2024,380,24.5,"A00,A01,D01",UEH
7340201,2024,380,24.8,"A00,A01,D01",TMU
7340201,2023,380,24.3,"A00,A01,D01",NEU
7340201,2023,380,24.1,"A00,A01,D01",UEH
7340201,2023,380,24.0,"A00,A01,D01",TMU
7340201,2022,380,25.0,"A00,A01,D01",NEU
7340201,2022,380,24.7,"A00,A01,D01",UEH
7340201,2022,380,24.6,"A00,A01,D01",TMU

7220201,2024,250,25.5,"D01,D14",FTU
7220201,2024,240,25.0,"D01,D14",UEF
7220201,2024,220,24.8,"D01,D14",VNU
7220201,2023,250,25.3,"D01,D14",FTU
7220201,2023,240,24.5,"D01,D14",UEF
7220201,2023,220,24.3,"D01,D14",VNU
7220201,2022,250,25.7,"D01,D14",FTU
7220201,2022,240,25.0,"D01,D14",UEF
7220201,2022,220,24.8,"D01,D14",VNU

7420201,2024,180,23.5,"B00,A00",VNU
7420201,2024,180,23.0,"B00,A00",HCMUS
7420201,2024,180,23.3,"B00,A00",HUAF
7420201,2023,180,23.0,"B00,A00",VNU
7420201,2023,180,22.8,"B00,A00",HCMUS
7420201,2023,180,22.7,"B00,A00",HUAF
7420201,2022,180,23.6,"B00,A00",VNU
7420201,2022,180,23.2,"B00,A00",HCMUS
7420201,2022,180,23.0,"B00,A00",HUAF

7580201,2024,300,24.5,"A00,A01",HUST
7580201,2024,300,24.0,"A00,A01",HCMUT
7580201,2024,300,23.8,"A00,A01",UDN
7580201,2023,300,24.0,"A00,A01",HUST
7580201,2023,300,23.6,"A00,A01",HCMUT
7580201,2023,300,23.5,"A00,A01",UDN
7580201,2022,300,24.8,"A00,A01",HUST
7580201,2022,300,24.3,"A00,A01",HCMUT
7580201,2022,300,24.0,"A00,A01",UDN

7810103,2024,350,24.0,"C00,D01",UEH
7810103,2024,350,23.5,"C00,D01",TDTU
7810103,2024,350,23.7,"C00,D01",HUFI
7810103,2023,350,23.4,"C00,D01",UEH
7810103,2023,350,23.0,"C00,D01",TDTU
7810103,2023,350,23.2,"C00,D01",HUFI
7810103,2022,350,24.2,"C00,D01",UEH
7810103,2022,350,23.6,"C00,D01",TDTU
7810103,2022,350,23.7,"C00,D01",HUFI
