name,code,region
Đại học Bách khoa Hà Nội,HUST,Bắc
Đại học Ngoại thương,FTU,Bắc
Đại học Kinh tế Quốc dân,NEU,Bắc
Đại học Quốc gia Hà Nội,VNU,Bắc
Đại học Y Hà Nội,HMU,Bắc
Đại học Sư phạm Hà Nội,HNUE,Bắc
Đại học Thương mại,TMU,Bắc
Đại học Công nghiệp Hà Nội,HAUI,Bắc
Đại học Mỏ - Địa chất,HUMG,Bắc
Đại học Giao thông Vận tải,UTC,Bắc
Đại học Kiến trúc Hà Nội,HAU,Bắc
Đại học Điện lực,EPU,Bắc
Đại học Nông nghiệp Hà Nội,HUAF,Bắc
Đại học Tài nguyên và Môi trường Hà Nội,HUNRE,Bắc
Đại học Kinh doanh và Công nghệ Hà Nội, HUBT,Bắc
Đại học Công nghệ Giao thông vận tải,UTT,Bắc
Đại học Kinh tế - Kỹ thuật Công nghiệp,UNETI,Bắc
Đại học Bách khoa TP.HCM,HCMUT,Nam
Đại học Khoa học Tự nhiên TP.HCM,HCMUS,Nam
Đại học Kinh tế TP.HCM,UEH,Nam
Đại học Sư phạm TP.HCM,HCMUE,Nam
Đại học Y Dược TP.HCM,UMP,Nam
Đại học Sài Gòn,SGU,Nam
Đại học Công nghệ TP.HCM,HUTECH,Nam
Đại học Kinh tế - Tài chính TP.HCM,UEF,Nam
Đại học Tôn Đức Thắng,TDTU,Nam
Đại học Ngân hàng TP.HCM,BUH,Nam
Đại học Mở TP.HCM,OU,Nam
Đại học Giao thông Vận tải TP.HCM,HCMUTR,Nam
Đại học Công nghiệp Thực phẩm TP.HCM,HUFI,Nam
Đại học Văn Lang,VLH,Nam
Đại học Nguyễn Tất Thành,NTTU,Nam
Đại học Đà Nẵng,UDN,Trung
Đại học Bách khoa – Đại học Đà Nẵng,UDBK,Trung
Đại học Kinh tế – Đại học Đà Nẵng,UDKT,Trung
Đại học Sư phạm – Đại học Đà Nẵng,UDSP,Trung
Đại học Ngoại ngữ – Đại học Đà Nẵng,UDNN,Trung
Đại học Huế,HUE,Trung
Đại học Khoa học – Đại học Huế,HUSC,Trung
Đại học Sư phạm – Đại học Huế,HUEdu,Trung
Đại học Nông Lâm – Đại học Huế,HUF,Trung
Đại học Kinh tế – Đại học Huế,HCE,Trung
Đại học Duy Tân,DTU,Trung
Đại học Đông Á,DAU,Trung
Đại học Phan Châu Trinh,PCTU,Trung
Đại học Quy Nhơn,QNU,Trung
Đại học Nha Trang,NTU,Trung
Đại học Tây Nguyên,TNU,Trung
